POP	PLE1	PLE2	PLE3	PLE4	PLE5	PLE6
36050	103.66	134.76	116.46	126.24	63.67	182.29
109118	369.26	477.69	387.9	473.78	255.7	611.21
252931	525.1	721.58	368.73	899.58	638.59	512.17
111559	331.4	432.65	293.56	490.59	332.85	394.24
226095	593.23	782.33	400.86	1008.61	664.05	487.35
9005	26.26	33.91	23.21	38.06	27.2	29.74
226577	632.72	851.22	411.88	1105.12	668.74	598.94
78854	246.13	315.48	232.1	339.1	228.51	317.9
150065	432.64	580.61	344.41	689.64	424.46	474.58
50685	154.21	198.47	171.66	188.51	94.47	270.4
54166	157.05	204.04	164.21	206.96	117.41	251.73
338304	870.44	1163.64	552.47	1524.67	1027.26	670.81
99441	293.98	383.71	259.51	433.6	289.11	359.42
161242	459.57	628.66	302.62	808.55	467.69	459.35
44561	122.71	157.95	139.71	146.6	62.44	230.84
6558933	8047.18	11324.5	2513.9	17299.1	17580.15	2226.43
383703	725.09	924.16	770.59	906.64	520.5	1167.5
1409425	2411.09	3324.79	1736.83	4145.69	3404.5	2366.13
245603	455.9	602.04	401.42	683.7	529.13	559.93
410403	769.82	1009.08	773.6	1031.07	636.3	1191.78
846865	1229.42	1628.51	664	2260.25	2349.84	445.83
564684	976.88	1273.21	656.33	1638.82	1664.64	586.2
518716	801.67	1043.85	477.48	1418.81	1548.05	298.35
566331	927.45	1222.44	607.42	1596.08	1703.7	461.84
140542	254.45	329.35	272.55	324.06	182.45	425.64
200715	340.58	459.65	255.07	568.92	470.71	348.53
253498	413.56	534.17	477.41	497.83	243.2	756.6
326318	629.3	825.56	639.6	838.07	513.82	989.46
234213	459.42	597.22	440.54	639.4	458.93	635.03
456303	808.44	1104.46	591.15	1361.81	1098.6	848.15
412278	685.74	898.97	495.89	1132.64	992.09	616.19
225627	614.43	814.14	577.15	879.99	523.25	890.28
130754	233.24	299.47	255.24	290.12	155.86	396.81
568151	921.71	1221.33	628.84	1567	1426.83	743.44
71539	163.47	216.53	171.58	215.57	124.88	259.13
125173	259.86	333.43	289.14	317.12	151.23	469.83
1002131	1612.9	2189.24	1061.14	2813.84	2396.64	1451.87
99131	214.65	271.33	237.64	258.6	124.69	375.15
143679	280.79	363.22	325.56	329.88	147.95	532.14
109390	212.1	283.96	198.6	305.1	202.88	311.55
1392	2.36	3.05	2.83	2.69	1.04	4.76
7381	12.76	16.49	15.56	14.5	5.48	26.02
74265	127.57	163.15	144.05	152.68	77.68	223.92
425750	810.7	1071.73	718.71	1198.38	887.67	1037.03
133422	264.3	344.36	264.29	356.39	211.18	421.32
163398	294.26	383.13	319.27	369.9	204.87	496.73
438413	778.39	1046.04	552.48	1315.62	1054.08	822.94
227613	435.97	582.64	426.15	615.37	384.42	663.95
164926	328.65	427.2	338.11	439.82	287.42	492.17
143293	270.58	346.04	282.4	344.73	197.71	435.99
254229	512.74	662.76	465.29	731.02	523.56	676.12
81196	148.29	192.81	159.61	188.21	106.5	244.83
18674	31.61	41.22	38.55	36.15	14.06	63.01
4394	5.75	7.36	6.85	6.63	2.52	11.76
652877	1152.47	1553.56	818.22	1964.11	1625.62	1089.72
28141	57.28	74.06	67.35	67.19	28.37	109.17
161143	347.88	447.64	388.08	422.22	207.82	604.83
134451	287.59	371.37	326.94	352.22	160.86	527.22
248286	579.39	751.3	611.7	753.99	421.99	947.24
232120	446.25	585.75	414.9	629.65	448.79	601.81
486281	903.89	1198.11	816.85	1327.5	969.91	1191.98
85545	209.19	269.89	237.28	249.68	127.31	372.7
265570	514.9	677	505.17	718.11	481.93	764.2
170971	334.95	442.47	312.74	481.6	343.78	457.31
14200	24.64	32.94	18.26	40.7	36.13	22.49
514611	928.86	1218.18	723.56	1456.72	1276.76	919.06
194366	364.16	476.58	296.36	562.05	493.02	366.48
