POP	PLE1	PLE2	PLE3	PLE4	PLE5	PLE6
106477 	8.51 	4.08 	12.57 	0.00 	9.40 	0.00 
157503 	613.95 	801.32 	857.06 	586.87 	352.07 	992.82 
79639 	297.84 	380.45 	401.79 	295.23 	182.98 	461.75 
80010 	247.81 	316.23 	406.40 	166.08 	119.33 	425.08 
25402 	43.44 	54.07 	80.26 	20.44 	14.32 	83.45 
8232 	27.74 	35.72 	47.78 	17.40 	14.28 	47.11 
112779 	410.48 	522.59 	602.37 	348.22 	217.65 	676.20 
459502 	1840.26 	2418.88 	2426.24 	1944.30 	1096.32 	2922.03 
26288 	76.32 	96.80 	126.96 	50.40 	33.50 	136.06 
173349 	679.29 	865.11 	932.32 	650.51 	395.42 	1089.89 
66318 	269.54 	344.82 	367.90 	257.42 	157.97 	417.08 
236627 	876.80 	1130.48 	1225.33 	828.91 	481.12 	1454.58 
18719 	31.69 	40.22 	58.95 	15.00 	10.64 	60.68 
141038 	514.23 	661.20 	751.40 	449.79 	280.35 	838.18 
316343 	1347.86 	1765.12 	1748.09 	1432.32 	786.93 	2146.55 
166704 	702.99 	924.90 	905.06 	760.32 	414.76 	1122.84 
146171 	591.56 	770.82 	778.01 	620.10 	352.71 	934.58 
33914 	126.75 	162.13 	171.23 	123.40 	74.50 	198.98 
165917 	628.83 	821.54 	858.31 	626.03 	360.13 	1017.93 
139924 	540.63 	692.05 	741.28 	516.86 	309.52 	867.08 
97448 	421.70 	550.16 	529.67 	456.28 	247.11 	662.08 
118367 	444.41 	573.77 	639.37 	404.33 	238.42 	737.43 
141070 	538.09 	686.01 	731.45 	519.92 	301.53 	873.25 
36994 	126.19 	160.46 	192.11 	101.08 	61.48 	219.83 
99554 	351.20 	449.47 	493.61 	323.37 	198.74 	568.09 
42632 	161.62 	208.30 	208.46 	170.05 	101.49 	244.81 
22832 	59.33 	74.94 	99.49 	37.88 	24.75 	107.21 
133440 	496.41 	636.44 	697.50 	462.73 	278.98 	812.14 
99372 	353.99 	452.24 	522.45 	301.82 	186.34 	593.58 
160989 	646.27 	854.99 	801.08 	726.86 	399.22 	1012.09 
79444 	293.20 	383.51 	429.84 	261.81 	160.75 	486.93 
129486 	495.14 	637.37 	688.64 	463.87 	269.56 	809.84 
169528 	696.15 	911.24 	891.71 	739.64 	401.07 	1102.97 
72157 	253.17 	324.08 	382.56 	207.04 	122.12 	439.13 
94515 	337.23 	436.11 	507.45 	285.77 	177.33 	577.53 
95335 	371.10 	469.62 	513.09 	355.07 	211.29 	586.51 
209992 	872.48 	1151.10 	1109.49 	963.54 	526.20 	1397.95 
62910 	231.43 	295.36 	338.85 	196.77 	117.33 	390.70 
116858 	453.53 	585.53 	636.88 	430.83 	247.40 	726.08 
178050 	650.56 	854.54 	861.64 	678.70 	392.19 	1007.91 
316261 	1363.85 	1799.83 	1789.53 	1451.55 	802.71 	2213.18 
81478 	302.48 	383.67 	448.55 	255.60 	151.94 	509.98 
39769 	154.66 	197.50 	209.14 	152.30 	94.56 	237.51 
49612 	194.68 	245.67 	248.34 	204.13 	117.75 	297.55 
148842 	636.63 	823.85 	848.74 	655.26 	349.56 	1053.64 
154766 	562.24 	730.86 	822.50 	495.06 	297.80 	943.31 
241837 	948.02 	1207.07 	1240.29 	958.43 	540.04 	1510.75 
531244 	2052.77 	2716.99 	2394.88 	2518.43 	1746.58 	2963.28 
748225 	2882.27 	3787.82 	3579.46 	3243.96 	1840.05 	4521.01 
106825 	400.43 	511.36 	578.23 	350.55 	213.70 	660.80 
133689 	497.03 	637.35 	662.67 	496.39 	293.01 	775.68 
93430 	392.20 	510.10 	506.37 	418.06 	236.14 	626.59 
48133 	134.48 	170.25 	225.98 	84.71 	57.91 	240.92 
18089 	75.36 	96.49 	100.70 	73.75 	48.26 	112.43 
25119 	97.97 	124.84 	129.55 	97.37 	59.37 	150.76 
51611 	188.03 	242.86 	278.55 	160.94 	100.36 	312.31 
48253 	136.03 	172.30 	222.40 	94.72 	60.89 	244.54 
32605 	131.91 	166.48 	173.78 	133.09 	77.05 	204.01 
246975 	991.03 	1296.91 	1330.35 	994.92 	549.39 	1629.81 
636257 	2741.71 	3567.85 	3358.89 	3103.96 	1687.74 	4249.91 
44169 	178.71 	232.67 	229.83 	188.38 	108.47 	274.76 
277612 	1222.99 	1587.05 	1507.64 	1357.81 	747.63 	1900.57 
108516 	443.33 	571.51 	564.56 	472.25 	269.14 	697.54 
172832 	720.93 	936.17 	926.58 	774.19 	436.34 	1142.29 
84105 	294.83 	376.07 	427.16 	262.36 	156.94 	493.44 
87709 	363.56 	468.94 	462.59 	386.82 	212.10 	580.32 
1015784 	4293.35 	5592.22 	5242.24 	4871.92 	2650.25 	6643.83 
38420 	153.42 	198.77 	191.73 	170.85 	99.36 	228.31 
47546 	186.19 	239.53 	232.52 	203.62 	118.11 	275.26 
3355176 	13450.61 	17482.94 	15638.06 	16161.12 	11703.02 	19578.51 
39759 	169.81 	219.06 	215.11 	182.36 	106.91 	261.26 
22615 	85.60 	107.44 	123.75 	74.19 	43.40 	143.52 
77296 	322.44 	409.09 	408.56 	344.70 	200.32 	490.53 
25929 	93.61 	120.36 	139.39 	79.39 	46.84 	158.05 
13746 	23.17 	29.36 	42.85 	10.80 	7.72 	44.65 
74039 	202.41 	258.13 	344.83 	126.70 	88.55 	364.59 
17922 	30.08 	37.76 	55.79 	14.12 	10.13 	57.66 
181513 	696.47 	891.66 	962.71 	667.07 	392.81 	1120.41 
48886 	100.39 	128.37 	180.53 	56.07 	38.11 	190.24 
180086 	763.90 	1005.88 	990.19 	827.21 	453.91 	1230.13 
12427 	21.45 	27.24 	39.97 	10.14 	7.14 	41.48 
795108 	3442.04 	4515.38 	4234.61 	3951.84 	2099.75 	5307.76 
32970 	119.43 	150.72 	177.34 	97.98 	58.39 	202.12 
56971 	98.67 	122.60 	181.17 	46.01 	32.62 	185.86 
86758 	343.35 	440.47 	457.64 	346.94 	212.96 	535.76 
262687 	1063.97 	1376.96 	1408.88 	1087.58 	635.73 	1665.00 
52844 	201.25 	256.73 	264.06 	204.05 	123.13 	309.91 
33326 	127.81 	161.69 	167.68 	131.77 	79.41 	192.82 
172063 	755.37 	988.78 	943.82 	830.03 	456.38 	1199.46 
84750 	353.58 	465.10 	443.47 	392.86 	219.92 	567.20 
159940 	621.87 	797.02 	770.02 	677.65 	386.25 	952.39 
116150 	440.21 	574.00 	569.49 	464.12 	282.21 	676.78 
33067 	115.36 	146.48 	168.20 	98.51 	60.59 	189.87 
43552 	149.61 	189.10 	230.80 	113.73 	71.79 	256.19 
97844 	355.93 	455.07 	522.91 	306.97 	197.39 	579.16 
106684 	378.03 	483.75 	553.42 	326.11 	206.69 	621.77 
49105 	171.33 	219.16 	240.55 	157.03 	93.59 	279.56 
43885 	132.34 	171.43 	219.54 	91.43 	61.00 	237.55 
242444 	944.96 	1218.13 	1218.36 	1006.00 	586.71 	1468.00 
132700 	542.24 	701.27 	687.00 	586.90 	324.76 	852.85 
59610 	232.04 	294.11 	307.08 	232.12 	133.55 	362.23 
81608 	301.01 	381.15 	405.53 	288.30 	174.55 	466.32 
27659 	96.64 	123.80 	146.86 	76.63 	50.08 	162.44 
130239 	506.05 	652.87 	681.59 	507.99 	307.89 	786.22 
125393 	459.27 	584.22 	650.11 	421.80 	256.87 	733.24 
55818 	217.58 	276.73 	275.96 	225.47 	133.97 	326.34 
50649 	171.14 	217.72 	260.52 	138.29 	87.33 	287.32 
43448 	157.97 	202.21 	213.44 	151.12 	90.18 	251.78 
63908 	235.67 	302.04 	339.82 	210.01 	130.61 	381.56 
37962 	137.75 	176.83 	203.03 	118.79 	73.85 	228.62 
69317 	259.60 	337.21 	363.25 	245.44 	145.63 	415.58 
32537 	98.43 	125.12 	159.48 	68.57 	44.52 	174.35 
88912 	327.07 	422.03 	463.78 	303.67 	187.36 	520.74 
41949 	171.38 	219.83 	234.80 	163.12 	97.75 	270.63 
25751 	87.43 	110.67 	127.47 	75.29 	45.83 	145.38 
43560 	171.60 	220.90 	248.41 	150.25 	91.64 	283.81 
34233 	137.38 	177.01 	189.79 	130.89 	82.28 	214.83 
93812 	364.14 	471.13 	473.82 	381.13 	228.00 	553.30 
105521 	390.82 	505.64 	533.78 	377.92 	224.82 	622.10 
275820 	1007.25 	1273.41 	1346.03 	997.42 	574.71 	1605.03 
181447 	739.06 	942.40 	965.87 	764.79 	412.90 	1191.10 
400063 	1729.83 	2245.51 	2200.20 	1875.08 	1044.35 	2759.09 
83199 	310.88 	395.54 	438.52 	276.47 	163.71 	519.71 
24032 	93.34 	118.29 	116.26 	101.90 	60.38 	139.20 
95315 	363.54 	468.33 	509.77 	346.46 	204.69 	592.05 
137436 	504.67 	643.03 	729.41 	452.96 	264.35 	843.12 
20735 	35.83 	44.84 	65.90 	16.52 	12.10 	68.09 
168459 	658.48 	856.23 	901.70 	648.55 	368.72 	1078.00 
176234 	684.76 	876.44 	943.63 	653.46 	388.44 	1096.69 
231440 	913.06 	1176.85 	1151.64 	974.51 	562.95 	1391.64 
168057 	618.24 	805.03 	858.40 	590.50 	355.30 	986.57 
103657 	384.01 	499.12 	517.13 	382.54 	230.38 	597.99 
63218 	233.82 	305.59 	337.07 	213.81 	136.96 	377.70 
197937 	781.10 	1024.59 	994.37 	854.03 	459.53 	1232.51 
158472 	593.19 	759.52 	779.66 	603.99 	363.04 	921.80 
154128 	605.07 	772.27 	798.91 	605.56 	361.84 	944.83 
