POP	PLE1	PLE2	PLE3	PLE4	PLE5	PLE6
397 	0.06 	0.03 	0.08 	0.00 	0.08 	0.00 
2047 	0.29 	0.13 	0.43 	0.00 	0.41 	0.00 
407 	0.06 	0.03 	0.08 	0.00 	0.08 	0.00 
12567 	0.76 	0.35 	1.11 	0.00 	1.07 	0.00 
2034 	0.29 	0.13 	0.43 	0.00 	0.41 	0.00 
86 	0.01 	0.01 	0.02 	0.00 	0.02 	0.00 
1045 	0.15 	0.07 	0.22 	0.00 	0.21 	0.00 
513 	0.07 	0.03 	0.11 	0.00 	0.10 	0.00 
1065 	0.16 	0.07 	0.23 	0.00 	0.22 	0.00 
2929 	0.42 	0.19 	0.61 	0.00 	0.58 	0.00 
504 	0.07 	0.03 	0.10 	0.00 	0.10 	0.00 
421 	0.06 	0.03 	0.09 	0.00 	0.08 	0.00 
1758 	0.25 	0.11 	0.37 	0.00 	0.35 	0.00 
5498 	0.73 	0.34 	1.08 	0.00 	1.02 	0.00 
218 	0.03 	0.01 	0.05 	0.00 	0.04 	0.00 
285 	0.04 	0.02 	0.06 	0.00 	0.06 	0.00 
20003 	3.11 	1.45 	4.61 	0.00 	4.40 	0.00 
20017 	0.44 	0.19 	0.63 	0.00 	0.61 	0.00 
20017 	3.73 	1.71 	5.45 	0.00 	4.68 	0.00 
20034 	1.88 	0.85 	2.74 	0.00 	2.64 	0.00 
20048 	0.50 	0.22 	0.72 	0.00 	0.69 	0.00 
20054 	3.88 	1.79 	5.72 	0.00 	4.83 	0.00 
20054 	0.30 	0.13 	0.44 	0.00 	0.42 	0.00 
20059 	3.53 	1.66 	5.20 	0.00 	4.60 	0.00 
20061 	1.83 	0.80 	2.63 	0.00 	2.53 	0.00 
20061 	2.03 	0.89 	2.93 	0.00 	2.83 	0.00 
20063 	2.04 	0.88 	2.93 	0.00 	2.80 	0.00 
20101 	1.66 	0.72 	2.39 	0.00 	2.32 	0.00 
20183 	1.99 	0.91 	2.92 	0.00 	2.82 	0.00 
20217 	1.53 	0.67 	2.21 	0.00 	2.15 	0.00 
20227 	2.54 	1.21 	3.77 	0.00 	3.04 	0.00 
20254 	1.64 	0.71 	2.35 	0.00 	2.28 	0.00 
20263 	1.65 	0.73 	2.39 	0.00 	2.27 	0.00 
20319 	1.72 	0.79 	2.52 	0.00 	2.45 	0.00 
20323 	1.39 	0.61 	2.00 	0.00 	1.95 	0.00 
20325 	1.73 	0.75 	2.49 	0.00 	2.40 	0.00 
20332 	1.93 	0.84 	2.77 	0.00 	2.68 	0.00 
20365 	1.48 	0.64 	2.13 	0.00 	2.05 	0.00 
20448 	2.79 	1.27 	4.07 	0.00 	3.94 	0.00 
20473 	2.02 	0.92 	2.97 	0.00 	2.86 	0.00 
20501 	3.15 	1.45 	4.65 	0.00 	3.65 	0.00 
20502 	2.04 	0.95 	3.01 	0.00 	2.90 	0.00 
20509 	0.27 	0.12 	0.40 	0.00 	0.38 	0.00 
20514 	2.95 	1.38 	4.35 	0.00 	4.20 	0.00 
20524 	3.50 	1.64 	5.20 	0.00 	4.48 	0.00 
20573 	0.35 	0.16 	0.51 	0.00 	0.48 	0.00 
20615 	2.20 	0.99 	3.21 	0.00 	3.08 	0.00 
20627 	1.70 	0.74 	2.44 	0.00 	2.39 	0.00 
20654 	2.50 	1.14 	3.67 	0.00 	3.52 	0.00 
20666 	1.27 	0.56 	1.83 	0.00 	1.78 	0.00 
20677 	3.65 	1.71 	5.41 	0.00 	4.79 	0.00 
20801 	2.01 	0.87 	2.88 	0.00 	2.78 	0.00 
20803 	1.13 	0.49 	1.61 	0.00 	1.57 	0.00 
20835 	1.23 	0.53 	1.77 	0.00 	1.70 	0.00 
20841 	3.47 	1.62 	5.11 	0.00 	4.40 	0.00 
20899 	0.41 	0.18 	0.59 	0.00 	0.57 	0.00 
20900 	4.26 	1.99 	6.26 	0.00 	4.83 	0.00 
20960 	1.62 	0.72 	2.35 	0.00 	2.28 	0.00 
21045 	2.35 	1.10 	3.46 	0.00 	3.38 	0.00 
21046 	2.76 	1.25 	4.01 	0.00 	3.87 	0.00 
21080 	4.19 	1.98 	6.19 	0.00 	4.85 	0.00 
21106 	2.17 	0.99 	3.19 	0.00 	3.08 	0.00 
21152 	3.09 	1.43 	4.52 	0.00 	3.99 	0.00 
21185 	2.94 	1.38 	4.32 	0.00 	3.63 	0.00 
21187 	3.33 	1.55 	4.89 	0.00 	4.21 	0.00 
21196 	2.96 	1.36 	4.34 	0.00 	4.21 	0.00 
21205 	1.63 	0.72 	2.35 	0.00 	2.28 	0.00 
21248 	1.00 	0.44 	1.45 	0.00 	1.39 	0.00 
10643 	1.02 	0.49 	1.52 	0.00 	1.05 	0.00 
21249 	0.78 	0.34 	1.13 	0.00 	1.08 	0.00 
21258 	3.93 	1.86 	5.80 	0.00 	4.96 	0.00 
21273 	2.93 	1.40 	4.35 	0.00 	3.49 	0.00 
21276 	0.98 	0.43 	1.42 	0.00 	1.37 	0.00 
21357 	1.60 	0.71 	2.31 	0.00 	2.22 	0.00 
21383 	1.70 	0.75 	2.46 	0.00 	2.36 	0.00 
21391 	3.81 	1.78 	5.65 	0.00 	4.89 	0.00 
21396 	4.15 	1.95 	6.08 	0.00 	4.85 	0.00 
21424 	0.84 	0.36 	1.21 	0.00 	1.16 	0.00 
21440 	2.74 	1.28 	4.03 	0.00 	3.59 	0.00 
21458 	0.85 	0.37 	1.22 	0.00 	1.19 	0.00 
21464 	2.73 	1.28 	4.02 	0.00 	3.24 	0.00 
21481 	1.55 	0.68 	2.24 	0.00 	2.15 	0.00 
21507 	2.25 	1.06 	3.35 	0.00 	3.24 	0.00 
21547 	3.97 	1.85 	5.88 	0.00 	5.01 	0.00 
21549 	3.27 	1.47 	4.77 	0.00 	4.59 	0.00 
21554 	1.92 	0.89 	2.82 	0.00 	2.71 	0.00 
21584 	1.37 	0.60 	1.97 	0.00 	1.92 	0.00 
21586 	4.44 	2.05 	6.56 	0.00 	4.79 	0.00 
21587 	1.49 	0.64 	2.14 	0.00 	2.08 	0.00 
21619 	3.71 	1.71 	5.41 	0.00 	4.60 	0.00 
21632 	3.49 	1.59 	5.08 	0.00 	4.94 	0.00 
21642 	1.93 	0.83 	2.78 	0.00 	2.68 	0.00 
21647 	4.08 	1.88 	5.98 	0.00 	5.07 	0.00 
21649 	2.92 	1.36 	4.31 	0.00 	3.59 	0.00 
21680 	2.62 	1.24 	3.91 	0.00 	3.13 	0.00 
21682 	1.35 	0.59 	1.96 	0.00 	1.88 	0.00 
21716 	3.23 	1.53 	4.77 	0.00 	4.18 	0.00 
21738 	1.35 	0.63 	1.99 	0.00 	1.92 	0.00 
21739 	3.80 	1.80 	5.61 	0.00 	4.92 	0.00 
21741 	1.45 	0.63 	2.09 	0.00 	2.02 	0.00 
21769 	2.97 	1.38 	4.38 	0.00 	4.20 	0.00 
21776 	1.57 	0.69 	2.27 	0.00 	2.17 	0.00 
21782 	2.30 	1.00 	3.31 	0.00 	3.19 	0.00 
21787 	1.55 	0.68 	2.23 	0.00 	2.15 	0.00 
21815 	3.88 	1.82 	5.77 	0.00 	4.43 	0.00 
21837 	1.54 	0.67 	2.23 	0.00 	2.13 	0.00 
21851 	1.63 	0.71 	2.34 	0.00 	2.26 	0.00 
21896 	2.30 	1.01 	3.30 	0.00 	3.20 	0.00 
21906 	1.00 	0.44 	1.44 	0.00 	1.38 	0.00 
