POP	PLE1	PLE2	PLE3	PLE4	PLE5	PLE6
56135 	6.47 	2.89 	9.37 	0.00 	9.02 	0.00 
25489 	3.87 	1.71 	5.58 	0.00 	5.40 	0.00 
43025 	6.65 	2.91 	9.59 	0.00 	9.23 	0.00 
12626 	1.96 	0.88 	2.86 	0.00 	2.71 	0.00 
24063 	3.70 	1.64 	5.35 	0.00 	5.12 	0.00 
13193 	2.02 	0.91 	2.94 	0.00 	2.83 	0.00 
14554 	2.25 	1.00 	3.27 	0.00 	3.16 	0.00 
49814 	6.06 	2.70 	8.83 	0.00 	8.40 	0.00 
51778 	6.87 	3.04 	9.91 	0.00 	9.51 	0.00 
12530 	1.94 	0.86 	2.80 	0.00 	2.70 	0.00 
10915 	1.67 	0.74 	2.42 	0.00 	2.32 	0.00 
188000 	24.35 	10.80 	35.41 	0.00 	34.18 	0.00 
36093 	5.16 	2.29 	7.47 	0.00 	7.20 	0.00 
13373 	2.09 	0.92 	3.02 	0.00 	2.90 	0.00 
77692 	11.54 	5.10 	16.64 	0.00 	16.04 	0.00 
48329 	6.94 	3.07 	10.10 	0.00 	9.63 	0.00 
41101 	5.27 	2.31 	7.60 	0.00 	7.33 	0.00 
70050 	10.39 	4.63 	15.06 	0.00 	14.52 	0.00 
103327 	13.74 	6.07 	19.86 	0.00 	18.96 	0.00 
36086 	5.53 	2.45 	8.04 	0.00 	7.73 	0.00 
100045 	13.22 	5.80 	19.09 	0.00 	18.45 	0.00 
16091 	2.48 	1.09 	3.58 	0.00 	3.47 	0.00 
25588 	3.59 	1.60 	5.22 	0.00 	4.99 	0.00 
30426 	4.36 	1.94 	6.31 	0.00 	6.06 	0.00 
25936 	4.05 	1.79 	5.87 	0.00 	5.67 	0.00 
8383 	1.23 	0.55 	1.79 	0.00 	1.74 	0.00 
14384 	2.16 	0.96 	3.14 	0.00 	3.04 	0.00 
16845 	2.54 	1.13 	3.68 	0.00 	3.57 	0.00 
101121 	12.55 	5.50 	18.11 	0.00 	17.35 	0.00 
50604 	7.74 	3.41 	11.12 	0.00 	10.68 	0.00 
724512 	65.69 	29.54 	95.57 	0.00 	92.53 	0.00 
13507 	2.09 	0.92 	3.00 	0.00 	2.91 	0.00 
90112 	11.93 	5.25 	17.18 	0.00 	16.53 	0.00 
22641 	3.51 	1.55 	5.09 	0.00 	4.89 	0.00 
32671 	5.10 	2.28 	7.43 	0.00 	7.09 	0.00 
142390 	16.70 	7.41 	24.13 	0.00 	23.17 	0.00 
95995 	13.64 	6.10 	19.83 	0.00 	19.05 	0.00 
10218 	1.59 	0.69 	2.29 	0.00 	2.17 	0.00 
19762 	2.77 	1.22 	4.01 	0.00 	3.82 	0.00 
424421 	39.37 	17.48 	57.37 	0.00 	55.00 	0.00 
19684 	2.67 	1.17 	3.86 	0.00 	3.68 	0.00 
29247 	4.48 	1.98 	6.46 	0.00 	6.20 	0.00 
92450 	12.94 	5.73 	18.66 	0.00 	18.00 	0.00 
424525 	41.06 	18.35 	59.54 	0.00 	57.38 	0.00 
56825 	8.65 	3.82 	12.52 	0.00 	12.04 	0.00 
21505 	3.40 	1.51 	4.96 	0.00 	4.71 	0.00 
295935 	20.38 	9.03 	29.52 	0.00 	28.37 	0.00 
116727 	14.30 	6.34 	20.80 	0.00 	20.05 	0.00 
9677 	1.48 	0.65 	2.13 	0.00 	2.05 	0.00 
18464 	2.91 	1.30 	4.23 	0.00 	4.08 	0.00 
32421 	4.04 	1.78 	5.83 	0.00 	5.65 	0.00 
22026 	3.40 	1.51 	4.93 	0.00 	4.75 	0.00 
50775 	6.49 	2.89 	9.48 	0.00 	8.98 	0.00 
88640 	12.78 	5.62 	18.53 	0.00 	17.68 	0.00 
228501 	28.34 	12.60 	41.00 	0.00 	39.69 	0.00 
10269 	1.58 	0.69 	2.27 	0.00 	2.20 	0.00 
12850 	2.02 	0.90 	2.92 	0.00 	2.81 	0.00 
79666 	10.91 	4.81 	15.78 	0.00 	15.09 	0.00 
39670 	6.16 	2.74 	8.96 	0.00 	8.68 	0.00 
196339 	22.69 	10.16 	33.02 	0.00 	31.63 	0.00 
62926 	9.44 	4.21 	13.70 	0.00 	13.20 	0.00 
16621 	2.50 	1.11 	3.61 	0.00 	3.51 	0.00 
10747 	1.71 	0.76 	2.47 	0.00 	2.36 	0.00 
23239 	3.57 	1.58 	5.16 	0.00 	4.98 	0.00 
19817 	3.04 	1.34 	4.41 	0.00 	4.23 	0.00 
115156 	14.07 	6.20 	20.28 	0.00 	19.50 	0.00 
31683 	4.49 	2.02 	6.51 	0.00 	6.31 	0.00 
280459 	31.30 	13.90 	45.22 	0.00 	43.53 	0.00 
233744 	24.69 	11.11 	35.86 	0.00 	34.59 	0.00 
408547 	27.64 	12.48 	40.26 	0.00 	38.70 	0.00 
77827 	11.38 	5.00 	16.44 	0.00 	15.77 	0.00 
38871 	5.35 	2.37 	7.76 	0.00 	7.48 	0.00 
18910 	3.11 	1.38 	4.50 	0.00 	4.35 	0.00 
995863 	60.10 	26.95 	87.69 	0.00 	84.49 	0.00 
315084 	34.30 	15.09 	49.61 	0.00 	47.90 	0.00 
134426 	9.81 	4.37 	14.23 	0.00 	13.82 	0.00 
13185 	2.15 	0.95 	3.10 	0.00 	3.02 	0.00 
50976 	7.80 	3.49 	11.33 	0.00 	10.95 	0.00 
31413 	4.65 	2.09 	6.75 	0.00 	6.53 	0.00 
19461 	3.16 	1.40 	4.58 	0.00 	4.39 	0.00 
