POP	PLE1	PLE2	PLE3	PLE4	PLE5	PLE6
642143	112.32 	117.31 	135.35 	95.30 	71.24 	159.56 
659686	728.07 	826.02 	685.22 	872.93 	242.31 	1338.11 
499628	608.32 	693.43 	547.06 	760.11 	182.07 	1134.79 
548955	663.94 	761.23 	601.04 	825.81 	193.44 	1244.87 
494620	698.43 	800.32 	599.45 	904.21 	185.24 	1343.50 
824945	716.56 	810.87 	692.45 	839.66 	251.03 	1299.06 
505923	453.98 	500.40 	457.97 	500.22 	186.66 	777.58 
309061	560.12 	646.85 	424.07 	793.36 	128.81 	1091.26 
809821	591.89 	641.42 	629.38 	608.89 	284.35 	964.94 
650798	391.41 	421.30 	421.88 	393.48 	196.15 	623.85 
1666669	430.02 	460.17 	504.77 	385.98 	254.87 	639.02 
149813	288.80 	337.06 	198.88 	429.18 	53.94 	585.90 
427026	687.75 	790.61 	568.95 	915.29 	159.29 	1358.77 
125817	247.79 	286.03 	171.58 	362.64 	52.17 	490.48 
422251	138.46 	156.31 	145.62 	150.07 	52.94 	243.72 
226512	412.83 	479.88 	309.89 	587.33 	93.78 	811.87 
76571	119.71 	138.58 	97.65 	161.14 	29.69 	233.66 
1314277	1763.65 	2011.87 	1556.26 	2244.75 	525.79 	3319.20 
294311	398.38 	466.90 	337.16 	531.52 	96.21 	785.51 
480547	859.10 	1008.74 	649.09 	1224.71 	175.75 	1723.41 
2156205	1834.08 	2082.33 	1784.66 	2153.88 	622.32 	3351.20 
941173	1455.45 	1677.08 	1212.57 	1922.04 	386.89 	2800.54 
707005	722.55 	818.21 	694.25 	853.48 	247.14 	1330.02 
750550	488.93 	539.44 	508.52 	526.27 	210.70 	842.05 
1038380	87.23 	85.38 	115.24 	58.01 	72.55 	98.33 
753843	410.51 	425.09 	469.70 	367.51 	254.51 	579.66 
923114	965.13 	1075.99 	935.72 	1114.25 	360.38 	1711.71 
757573	863.94 	980.43 	801.39 	1044.16 	305.68 	1562.83 
1125051	684.64 	722.54 	755.46 	654.55 	386.95 	1030.44 
2088043	1442.68 	1625.90 	1466.99 	1618.58 	535.29 	2569.53 
725019	416.47 	473.37 	417.03 	477.77 	139.66 	757.72 
